nuc_id,chr,center,coverage,gene,acc,gene_pos
187,1,195902,2.3,SWH1,YAR042W,22
188,1,195767,2.38,SWH1,YAR042W,21
189,1,195611,3.63,SWH1,YAR042W,20
190,1,195350,2.06,SWH1,YAR042W,18
191,1,195212,3.49,SWH1,YAR042W,17
192,1,195025,3.57,SWH1,YAR042W,16
193,1,194835,6.73,SWH1,YAR042W,15
194,1,194663,2.64,SWH1,YAR042W,14
195,1,194507,4.36,SWH1,YAR042W,13
196,1,194372,6.94,SWH1,YAR042W,12
197,1,194198,6.57,SWH1,YAR042W,11
198,1,194086,3.95,SWH1,YAR042W,10
199,1,193894,7.48,SWH1,YAR042W,9
200,1,193756,7.42,SWH1,YAR042W,8
201,1,193586,5.86,SWH1,YAR042W,7
202,1,193444,7.72,SWH1,YAR042W,6
203,1,193280,8.12,SWH1,YAR042W,5
204,1,193127,7.17,SWH1,YAR042W,4
205,1,192961,12.36,SWH1,YAR042W,3
206,1,192787,11.5,SWH1,YAR042W,2
207,1,192633,8.77,SWH1,YAR042W,1
208,1,192316,4.73,,YAR035C-A,1
209,1,192161,7.2,SWH1,YAR042W,-2
210,1,191984,6.31,SWH1,YAR042W,-3
211,1,191803,4.65,YAT1,YAR035W,11
212,1,191626,5.83,YAT1,YAR035W,10
213,1,191357,6.23,YAT1,YAR035W,8
214,1,191184,6.97,YAT1,YAR035W,7
215,1,191022,7.16,YAT1,YAR035W,6
216,1,190814,2.91,YAT1,YAR035W,5
217,1,190505,7.81,YAT1,YAR035W,3
218,1,190201,2.89,YAT1,YAR035W,1
219,1,190031,0.63,YAT1,YAR035W,-1
220,1,189910,6.8,YAT1,YAR035W,-2
221,1,189800,2.99,YAT1,YAR035W,-3
222,1,189645,1.94,,,NaN
223,1,189414,6.81,,,NaN
224,1,189264,0.86,,,NaN
225,1,189019,5.03,,,NaN
226,1,188887,13.41,,,NaN
227,1,188669,5.77,MST28,YAR033W,4
228,1,188457,4.14,MST28,YAR033W,3
229,1,188256,2.3,MST28,YAR033W,2
230,1,188095,4.18,MST28,YAR033W,1
231,1,187853,3.43,MST28,YAR033W,-1
232,1,187721,7.18,MST28,YAR033W,-2
233,1,187588,5.28,MST28,YAR033W,-3
234,1,187377,5.93,,YAR030C,-3
235,1,187182,1.4,,YAR030C,-2
236,1,187009,7.39,,YAR030C,-1
237,1,186807,4.8,PRM9,YAR031W,1
238,1,186627,6.58,PRM9,YAR031W,-1
239,1,186463,7.66,PRM9,YAR031W,-2
240,1,186286,5.3,,YAR029W,1
241,1,186114,6.52,,YAR029W,-1
242,1,185953,5.12,,YAR029W,-2
243,1,185691,8.52,,YAR029W,-3
244,1,185538,7.41,,,NaN
245,1,185383,9.65,,YAR028W,4
246,1,185210,10.5,,YAR028W,3
247,1,185049,5.83,,YAR028W,2
248,1,184888,5.78,,YAR028W,1
249,1,184624,4.22,,YAR028W,-1
250,1,184450,3.61,,YAR028W,-2
251,1,184301,5.65,,YAR028W,-3
252,1,184187,0.57,UIP3,YAR027W,4
253,1,184060,3.27,UIP3,YAR027W,3
254,1,183876,2.89,UIP3,YAR027W,2
255,1,183735,5.51,UIP3,YAR027W,1
256,1,183477,6.81,UIP3,YAR027W,-1
257,1,183297,3.99,UIP3,YAR027W,-2
258,1,183107,4.56,UIP3,YAR027W,-3
259,1,182942,3.42,,,NaN
260,1,182743,3.51,,,NaN
261,1,182605,0.77,,,NaN
262,1,182408,4.83,,,NaN
263,1,182229,12.34,,,NaN
264,1,182060,7.66,,,NaN
265,1,181881,9.93,,,NaN
266,1,181725,9.65,,,NaN
267,1,181555,8.75,,,NaN
268,1,181391,2.75,,,NaN
269,1,181156,1.3,,,NaN
270,1,180974,9.37,,,NaN
271,1,180791,5.73,,YAR023C,-3
272,1,180610,7.99,,YAR023C,-2
273,1,180449,9.26,,YAR023C,-1
274,1,180271,5.21,,YAR023C,1
275,1,180061,5.2,,YAR023C,2
276,1,179903,9.61,,YAR023C,3
277,1,179728,9.05,,YAR023C,4
278,1,179560,6.23,,YAR023C,5
279,1,179396,11.2,,YAR023C,6
280,1,179237,5.07,,,NaN
281,1,179088,7.49,,,NaN
282,1,178912,3.89,,,NaN
283,1,178756,7.69,,,NaN
284,1,178585,6.95,,,NaN
285,1,178426,5.7,,,NaN
286,1,178273,1.13,,,NaN
287,1,178104,5.68,PAU7,YAR020C,-3
288,1,177951,4.78,PAU7,YAR020C,-2
289,1,177786,4.69,PAU7,YAR020C,-1
290,1,177608,6.21,PAU7,YAR020C,1
291,1,177403,6.15,PAU7,YAR020C,2
292,1,177192,2.9,PAU7,YAR020C,3
293,1,176980,3.88,PAU7,YAR020C,4
294,1,176749,7.47,,,NaN
295,1,176385,7.02,,,NaN
296,1,176158,2.91,,,NaN
297,1,176008,4.01,,,NaN
298,1,175854,5.82,,,NaN
299,1,175685,7.7,CDC15,YAR019C,-3
300,1,175519,9.36,CDC15,YAR019C,-2
301,1,175337,6.48,CDC15,YAR019C,-1
302,1,175124,11.63,CDC15,YAR019C,1
303,1,174966,6,,YAR019W-A,1
304,1,174789,9.94,,YAR019W-A,-1
305,1,174625,10.61,,YAR019W-A,-2
306,1,174472,11.36,,YAR019W-A,-3
307,1,174300,12.53,CDC15,YAR019C,6
308,1,174135,8.62,CDC15,YAR019C,7
309,1,173978,6.07,CDC15,YAR019C,8
310,1,173830,2.39,CDC15,YAR019C,9
311,1,173670,7.1,CDC15,YAR019C,10
312,1,173383,4.74,CDC15,YAR019C,12
313,1,173193,2.49,CDC15,YAR019C,13
314,1,173033,5.09,CDC15,YAR019C,14
315,1,172867,5.18,CDC15,YAR019C,15
316,1,172668,0.61,CDC15,YAR019C,16
317,1,172488,6.88,CDC15,YAR019C,17
318,1,172314,7.9,KIN3,YAR018C,-3
319,1,172136,3.66,KIN3,YAR018C,-2
320,1,171957,5.53,KIN3,YAR018C,-1
321,1,171697,7.37,KIN3,YAR018C,1
322,1,171537,11.1,KIN3,YAR018C,2
323,1,171364,6.91,KIN3,YAR018C,3
324,1,171199,6.14,KIN3,YAR018C,4
325,1,171044,6.65,KIN3,YAR018C,5
326,1,170871,8.21,KIN3,YAR018C,6
327,1,170707,4.91,KIN3,YAR018C,7
328,1,170543,7.29,KIN3,YAR018C,8
329,1,170400,1.22,KIN3,YAR018C,9
330,1,170229,1.98,,,NaN
331,1,170101,6.65,ADE1,YAR015W,6
332,1,169929,11.96,ADE1,YAR015W,5
333,1,169776,8.77,ADE1,YAR015W,4
334,1,169605,10.13,ADE1,YAR015W,3
335,1,169445,7.86,ADE1,YAR015W,2
336,1,169284,2.32,ADE1,YAR015W,1
337,1,168981,15.36,BUD14,YAR014C,1
338,1,168809,10.78,BUD14,YAR014C,2
339,1,168645,6.45,BUD14,YAR014C,3
340,1,168482,10.14,BUD14,YAR014C,4
341,1,168320,6.91,BUD14,YAR014C,5
342,1,168168,7.7,BUD14,YAR014C,6
343,1,167985,6.48,BUD14,YAR014C,7
344,1,167844,5.91,BUD14,YAR014C,8
345,1,167658,3.84,BUD14,YAR014C,9
346,1,167533,4.94,BUD14,YAR014C,10
347,1,167376,3.6,BUD14,YAR014C,11
348,1,167220,6.59,BUD14,YAR014C,12
349,1,167041,6.98,BUD14,YAR014C,13
350,1,166820,6.38,BUD14,YAR014C,14
351,1,166658,2.3,,,NaN
352,1,166471,4.97,,,NaN
353,1,166281,2.7,,,NaN
354,1,166053,1.69,,,NaN
355,1,165696,4.35,,,NaN
356,1,165421,4.59,,,NaN
357,1,165179,1.77,,,NaN
358,1,165013,5.32,,,NaN
359,1,164823,7.57,,,NaN
360,1,164654,7.28,,,NaN
361,1,164488,10.73,,,NaN
362,1,164301,3.12,,,NaN
363,1,164197,3.76,,,NaN
364,1,163999,5.27,,,NaN
365,1,163857,4.15,,,NaN
366,1,163673,3.65,,,NaN
367,1,163529,6.19,,,NaN
368,1,163344,9.57,,,NaN
369,1,163174,3.5,,,NaN
370,1,163001,7.74,,,NaN
371,1,162846,3.41,,,NaN
372,1,162638,5.32,,,NaN
373,1,162462,12.18,,,NaN
374,1,162229,7.42,,,NaN
375,1,161956,3.79,,,NaN
376,1,161686,4.06,,,NaN
377,1,161499,1.06,,,NaN
378,1,161323,4.97,,,NaN
379,1,161094,2.54,,,NaN
380,1,160909,2.93,,,NaN
381,1,160792,2.8,,,NaN
382,1,160467,2.26,,,NaN
383,1,160272,2.5,,,NaN
384,1,160105,4.12,,,NaN
385,1,159856,2.83,,,NaN
386,1,159694,7.22,,,NaN
387,1,159551,7.58,SEN34,YAR008W,5
388,1,159395,4.2,SEN34,YAR008W,4
389,1,159234,9.51,SEN34,YAR008W,3
390,1,159073,11.88,SEN34,YAR008W,2
391,1,158917,9.9,SEN34,YAR008W,1
392,1,158634,9.12,RFA1,YAR007C,1
393,1,158476,10.6,RFA1,YAR007C,2
394,1,158309,8.62,RFA1,YAR007C,3
395,1,158148,9.91,RFA1,YAR007C,4
396,1,157985,9.36,RFA1,YAR007C,5
397,1,157823,8.84,RFA1,YAR007C,6
398,1,157658,6.58,RFA1,YAR007C,7
399,1,157501,6.7,RFA1,YAR007C,8
400,1,157340,5.46,RFA1,YAR007C,9
401,1,157164,3.72,RFA1,YAR007C,10
402,1,156997,3.53,RFA1,YAR007C,11
403,1,156817,8,RFA1,YAR007C,12
404,1,156642,4.8,,,NaN
405,1,156476,5.95,,,NaN
406,1,156300,6.5,,,NaN
407,1,156124,11.77,SWD1,YAR003W,8
408,1,155959,7.18,SWD1,YAR003W,7
409,1,155807,6.89,SWD1,YAR003W,6
410,1,155638,5.22,SWD1,YAR003W,5
411,1,155473,8.01,SWD1,YAR003W,4
412,1,155313,10.73,SWD1,YAR003W,3
413,1,155148,11.2,SWD1,YAR003W,2
414,1,154991,10.01,SWD1,YAR003W,1
415,1,154718,8.25,ERP1,YAR002C-A,1
416,1,154543,8.19,ERP1,YAR002C-A,2
417,1,154379,7.87,ERP1,YAR002C-A,3
418,1,154209,6.07,ERP1,YAR002C-A,4
419,1,153968,0.66,,,NaN
420,1,153789,3.74,,,NaN
421,1,153570,6.42,NUP60,YAR002W,9
422,1,153411,6.16,NUP60,YAR002W,8
423,1,153253,7.28,NUP60,YAR002W,7
424,1,153085,4.93,NUP60,YAR002W,6
425,1,152932,5.56,NUP60,YAR002W,5
426,1,152765,7.97,NUP60,YAR002W,4
427,1,152593,9.49,NUP60,YAR002W,3
428,1,152436,9.18,NUP60,YAR002W,2
429,1,152262,10.82,NUP60,YAR002W,1
430,1,151992,4.12,NUP60,YAR002W,-1
431,1,151844,4.83,NUP60,YAR002W,-2
432,1,151710,1.09,TFC3,YAL001C,-3
433,1,151535,7.14,TFC3,YAL001C,-2
434,1,151369,1.46,TFC3,YAL001C,-1
435,1,151148,9.69,TFC3,YAL001C,1
436,1,150976,4.71,TFC3,YAL001C,2
437,1,150806,6.38,TFC3,YAL001C,3
438,1,150650,8.93,TFC3,YAL001C,4
439,1,150491,2.46,TFC3,YAL001C,5
440,1,150335,6.06,TFC3,YAL001C,6
441,1,150184,3.88,TFC3,YAL001C,7
442,1,150016,2.38,TFC3,YAL001C,8
443,1,149865,1.81,TFC3,YAL001C,9
444,1,149736,6.04,TFC3,YAL001C,10
445,1,149536,7.47,TFC3,YAL001C,11
446,1,149416,3.03,TFC3,YAL001C,12
447,1,149229,3.51,TFC3,YAL001C,13
448,1,148980,2.52,TFC3,YAL001C,14
449,1,148663,5.67,TFC3,YAL001C,16
450,1,148480,4.17,TFC3,YAL001C,17
451,1,148303,4.88,TFC3,YAL001C,18
452,1,148161,1.23,TFC3,YAL001C,19
453,1,147992,1.97,TFC3,YAL001C,20
454,1,147824,4.21,TFC3,YAL001C,21
455,1,147660,0.74,TFC3,YAL001C,22
456,1,147428,5.53,VPS8,YAL002W,26
457,1,147173,1.73,VPS8,YAL002W,24
458,1,147034,4.51,VPS8,YAL002W,23
459,1,146694,5.74,VPS8,YAL002W,21
460,1,146465,5.81,VPS8,YAL002W,20
461,1,146133,1.18,VPS8,YAL002W,18
462,1,145959,5.12,VPS8,YAL002W,17
463,1,145817,1.82,VPS8,YAL002W,16
464,1,145634,2.52,VPS8,YAL002W,15
465,1,145360,1.41,VPS8,YAL002W,13
466,1,145250,4.52,VPS8,YAL002W,12
467,1,145076,6.75,VPS8,YAL002W,11
468,1,144776,4.1,VPS8,YAL002W,9
469,1,144594,6.39,VPS8,YAL002W,8
470,1,144461,1.47,VPS8,YAL002W,7
471,1,144290,9.33,VPS8,YAL002W,6
472,1,144134,7.34,VPS8,YAL002W,5
473,1,143966,4.97,VPS8,YAL002W,4
474,1,143824,3.94,VPS8,YAL002W,3
475,1,143639,2.24,VPS8,YAL002W,2
476,1,143299,1.43,VPS8,YAL002W,-1
477,1,143073,2.28,VPS8,YAL002W,-2
478,1,142942,3.65,VPS8,YAL002W,-3
479,1,142759,5.36,EFB1,YAL003W,5
480,1,142461,3.65,EFB1,YAL003W,3
481,1,142197,2.79,EFB1,YAL003W,1
482,1,141797,1,SSA1,YAL005C,-2
483,1,141560,1.47,SSA1,YAL005C,-1
484,1,141371,1.46,SSA1,YAL005C,1
485,1,141226,4.52,SSA1,YAL005C,2
486,1,140895,1.54,,YAL004W,2
487,1,140763,1.99,,YAL004W,1
488,1,140623,2.51,,YAL004W,-1
489,1,140335,3.94,,YAL004W,-2
490,1,140095,2,,YAL004W,-3
491,1,139909,3.17,SSA1,YAL005C,10
492,1,139742,4.4,SSA1,YAL005C,11
493,1,139582,7.03,SSA1,YAL005C,12
494,1,139147,1.32,,,NaN
495,1,138993,4.31,ERP2,YAL007C,-3
496,1,138830,4.27,ERP2,YAL007C,-2
497,1,138653,4.21,ERP2,YAL007C,-1
498,1,138383,9.59,ERP2,YAL007C,1
499,1,138218,11.27,ERP2,YAL007C,2
500,1,138053,6,ERP2,YAL007C,3
501,1,137900,7.39,ERP2,YAL007C,4
502,1,137749,1.86,ERP2,YAL007C,5
503,1,137574,1.34,,,NaN
504,1,137410,4.62,FUN14,YAL008W,4
505,1,137226,5.57,FUN14,YAL008W,3
506,1,137087,8.13,FUN14,YAL008W,2
507,1,136908,5.42,FUN14,YAL008W,1
508,1,136697,1.97,FUN14,YAL008W,-1
509,1,136541,9.85,FUN14,YAL008W,-2
510,1,136356,6.48,FUN14,YAL008W,-3
511,1,136190,7.25,SPO7,YAL009W,3
512,1,136040,8.45,SPO7,YAL009W,2
513,1,135880,9.11,SPO7,YAL009W,1
514,1,135655,10.83,MDM10,YAL010C,1
515,1,135489,9.86,MDM10,YAL010C,2
516,1,135322,9.47,MDM10,YAL010C,3
517,1,135163,7.55,MDM10,YAL010C,4
518,1,134997,6.7,MDM10,YAL010C,5
519,1,134856,7.25,MDM10,YAL010C,6
520,1,134665,4.88,MDM10,YAL010C,7
521,1,134527,1.61,MDM10,YAL010C,8
522,1,134352,5.71,MDM10,YAL010C,9
523,1,134216,0.7,MDM10,YAL010C,10
524,1,134027,5.92,,,NaN
525,1,133881,2.56,SWC3,YAL011W,15
526,1,133754,6.93,SWC3,YAL011W,14
527,1,133550,5.63,SWC3,YAL011W,13
528,1,133376,9.7,SWC3,YAL011W,12
529,1,133218,10.47,SWC3,YAL011W,11
530,1,133055,7.11,SWC3,YAL011W,10
531,1,132885,11.61,SWC3,YAL011W,9
532,1,132726,10.35,SWC3,YAL011W,8
533,1,132565,13.1,SWC3,YAL011W,7
534,1,132394,7.9,SWC3,YAL011W,6
535,1,132232,10.28,SWC3,YAL011W,5
536,1,131966,6.99,SWC3,YAL011W,3
537,1,131820,7.09,SWC3,YAL011W,2
538,1,131645,2.87,SWC3,YAL011W,1
539,1,131437,5.28,SWC3,YAL011W,-1
540,1,131281,8.57,SWC3,YAL011W,-2
541,1,131103,7.8,CYS3,YAL012W,3
542,1,130940,6.54,CYS3,YAL012W,2
543,1,130782,1.84,CYS3,YAL012W,1
544,1,130450,11.96,CYS3,YAL012W,-1
545,1,130286,11.56,CYS3,YAL012W,-2
546,1,130112,9.02,CYS3,YAL012W,-3
547,1,129959,10.37,DEP1,YAL013W,5
548,1,129789,9.88,DEP1,YAL013W,4
549,1,129627,14.72,DEP1,YAL013W,3
550,1,129465,11.83,DEP1,YAL013W,2
551,1,129284,16.61,DEP1,YAL013W,1
552,1,129008,11.62,SYN8,YAL014C,1
553,1,128849,7.24,SYN8,YAL014C,2
554,1,128694,8.06,SYN8,YAL014C,3
555,1,128544,8.67,NTG1,YAL015C,-3
556,1,128394,5.48,NTG1,YAL015C,-2
557,1,128242,2.19,NTG1,YAL015C,-1
558,1,128030,9.54,NTG1,YAL015C,1
559,1,127883,10.33,NTG1,YAL015C,2
560,1,127704,9.12,NTG1,YAL015C,3
561,1,127523,6.43,NTG1,YAL015C,4
562,1,127354,8.07,NTG1,YAL015C,5
563,1,127177,6.29,NTG1,YAL015C,6
564,1,127021,8.71,NTG1,YAL015C,7
565,1,126850,1.21,,,NaN
566,1,126684,2.47,TPD3,YAL016W,13
567,1,126524,5.16,TPD3,YAL016W,12
568,1,126352,1.39,TPD3,YAL016W,11
569,1,126242,4.03,TPD3,YAL016W,10
570,1,126104,3.54,TPD3,YAL016W,9
571,1,125934,4.5,TPD3,YAL016W,8
572,1,125774,6.88,TPD3,YAL016W,7
573,1,125632,3.55,TPD3,YAL016W,6
574,1,125488,6.6,,YAL016C-A,-3
575,1,125325,7.52,,YAL016C-A,-2
576,1,125155,8.32,,YAL016C-A,-1
577,1,125006,5.11,,YAL016C-A,1
578,1,124851,7.31,TPD3,YAL016W,1
579,1,124595,6.05,,YAL016C-B,-1
580,1,124364,4.78,,YAL016C-B,1
581,1,124207,5.82,TPD3,YAL016W,-3
582,1,124021,6,PSK1,YAL017W,26
583,1,123858,4.32,PSK1,YAL017W,25
584,1,123674,3.57,PSK1,YAL017W,24
585,1,123471,5.79,PSK1,YAL017W,23
586,1,123336,5.89,PSK1,YAL017W,22
587,1,123131,6.97,PSK1,YAL017W,21
588,1,122952,4.44,PSK1,YAL017W,20
589,1,122785,3.89,PSK1,YAL017W,19
590,1,122584,1.74,PSK1,YAL017W,18
591,1,122443,4.08,PSK1,YAL017W,17
592,1,122308,5.51,PSK1,YAL017W,16
593,1,122151,7.17,PSK1,YAL017W,15
594,1,121994,4.78,PSK1,YAL017W,14
595,1,121813,6.89,PSK1,YAL017W,13
596,1,121653,7.4,PSK1,YAL017W,12
597,1,121510,2.82,PSK1,YAL017W,11
598,1,121338,2.84,PSK1,YAL017W,10
599,1,121175,4.97,PSK1,YAL017W,9
600,1,121038,5.15,PSK1,YAL017W,8
601,1,120891,5.1,PSK1,YAL017W,7
602,1,120731,7.58,PSK1,YAL017W,6
603,1,120562,7.16,,YAL018C,-3
604,1,120416,3.97,,YAL018C,-2
605,1,120256,5.86,,YAL018C,-1
606,1,120079,8.28,,YAL018C,1
607,1,119915,7.18,PSK1,YAL017W,1
608,1,119597,4.44,PSK1,YAL017W,-1
609,1,119442,8.57,PSK1,YAL017W,-2
610,1,119264,7.7,PSK1,YAL017W,-3
611,1,119086,6.88,,YAL018C,7
612,1,118909,3.63,,YAL018C,8
613,1,118719,4.6,,YAL018C,9
614,1,118585,3.27,,YAL018C,10
615,1,118409,1.09,,,NaN
616,1,118167,1.82,FUN30,YAL019W,21
617,1,117938,0.79,FUN30,YAL019W,20
618,1,117770,3.16,FUN30,YAL019W,19
619,1,117555,1.82,FUN30,YAL019W,18
620,1,117288,4.02,FUN30,YAL019W,16
621,1,117093,1.67,FUN30,YAL019W,15
622,1,116923,1.5,FUN30,YAL019W,14
623,1,116797,6.19,FUN30,YAL019W,13
624,1,116614,3.92,FUN30,YAL019W,12
625,1,116450,3.29,FUN30,YAL019W,11
626,1,116293,5.08,FUN30,YAL019W,10
627,1,116149,4.87,FUN30,YAL019W,9
628,1,115985,4.93,FUN30,YAL019W,8
629,1,115852,3.38,FUN30,YAL019W,7
630,1,115683,11.9,FUN30,YAL019W,6
631,1,115521,9.2,FUN30,YAL019W,5
632,1,115354,10.95,FUN30,YAL019W,4
633,1,115185,12.23,FUN30,YAL019W,3
634,1,115025,12.2,FUN30,YAL019W,2
635,1,114856,7.99,FUN30,YAL019W,1
636,1,114583,10.46,ATS1,YAL020C,1
637,1,114418,11.66,ATS1,YAL020C,2
638,1,114253,7.95,,YAL019W-A,1
639,1,114094,7.14,,YAL019W-A,-1
640,1,113941,9.05,,YAL019W-A,-2
641,1,113785,7.17,CCR4,YAL021C,-2
642,1,113633,8,CCR4,YAL021C,-1
643,1,113354,11.7,CCR4,YAL021C,1
